Episode,Epsilon,Total Reward,Loss,Steps,Collisions,Exit Reason
105,0.5907768628656763,-954.0,8992.723722237017,47,5,Collision tolerance exceeded
106,0.5878229785513479,-528.0,5173.9102047095785,30,5,Collision tolerance exceeded
107,0.5848838636585911,-1542.0,13764.808735832401,77,5,Collision tolerance exceeded
108,0.5819594443402982,-1124.0,7914.032388730087,46,5,Collision tolerance exceeded
109,0.5790496471185967,-2672.0,9151.046777793676,50,5,Collision tolerance exceeded
110,0.5761543988830038,-1136.0,6498.602531555012,36,5,Collision tolerance exceeded
111,0.5732736268885887,-1096.0,8126.293604565168,45,5,Collision tolerance exceeded
112,0.5704072587541458,-1308.0,8250.9445595514,44,5,Collision tolerance exceeded
113,0.567555222460375,-1236.0,6441.4542021687585,34,5,Collision tolerance exceeded
114,0.5647174463480732,-448.0,5277.402716700446,30,5,Collision tolerance exceeded
115,0.5618938591163328,-708.0,4322.87787321984,26,5,Collision tolerance exceeded
116,0.5590843898207511,-1750.0,10373.102531921284,57,5,Collision tolerance exceeded
117,0.5562889678716474,-1256.0,7384.61991701642,42,5,Collision tolerance exceeded
118,0.5535075230322891,-2634.0,11867.581696002617,63,5,Collision tolerance exceeded
119,0.5507399854171277,-1772.0,8302.332480268704,50,5,Collision tolerance exceeded
120,0.547986285490042,-1478.0,7851.417219774084,46,5,Collision tolerance exceeded
121,0.5452463540625918,-1324.0,5808.830262286943,34,5,Collision tolerance exceeded
122,0.5425201222922789,-1056.0,8959.880110613854,52,5,Collision tolerance exceeded
123,0.5398075216808175,-82.0,5157.958215140978,31,1,Goal reached
124,0.5371084840724134,-1116.0,4169.9660807351665,24,5,Collision tolerance exceeded
125,0.5344229416520513,-1906.0,9192.73011417995,45,5,Collision tolerance exceeded
126,0.531750826943791,-1792.0,7725.695982470399,40,5,Collision tolerance exceeded
127,0.5290920728090721,-4578.0,19251.03604881921,101,5,Collision tolerance exceeded
128,0.5264466124450268,-2184.0,7977.779132703468,45,5,Collision tolerance exceeded
129,0.5238143793828016,-1240.0,5866.542013894723,30,5,Collision tolerance exceeded
130,0.5211953074858876,-1476.0,9366.861881405814,50,5,Collision tolerance exceeded
131,0.5185893309484582,-484.0,8384.005439676468,44,5,Collision tolerance exceeded
132,0.5159963842937159,-614.0,9235.356245571715,49,5,Collision tolerance exceeded
133,0.5134164023722473,-48.0,6105.537387748897,32,5,Collision tolerance exceeded
134,0.510849320360386,-40.0,4038.928136266074,24,5,Collision tolerance exceeded
135,0.5082950737585841,-182.0,5592.8379372963955,25,5,Collision tolerance exceeded
136,0.5057535983897912,-118.0,5147.836139000745,23,5,Collision tolerance exceeded
137,0.5032248303978422,-68.0,4100.771273130033,20,5,Collision tolerance exceeded
138,0.500708706245853,-2096.0,10492.983508173336,48,5,Collision tolerance exceeded
139,0.4982051627146237,-2018.0,12970.847106735218,66,5,Collision tolerance exceeded
140,0.49571413690105054,-888.0,14426.435909756756,72,5,Collision tolerance exceeded
141,0.4932355662165453,-390.0,8253.142259343416,37,5,Collision tolerance exceeded
142,0.4907693883854626,-2600.0,31051.50270613028,150,3,Max steps reached
143,0.4883155414435353,-1148.0,19714.193405233324,95,5,Collision tolerance exceeded
144,0.4858739637363176,-944.0,7780.6401763150425,37,5,Collision tolerance exceeded
145,0.483444593917636,-310.0,6427.111624416124,33,5,Collision tolerance exceeded
146,0.4810273709480478,-8088.0,21057.85762411671,106,5,Collision tolerance exceeded
147,0.47862223409330756,-758.0,8737.233470838204,42,5,Collision tolerance exceeded
148,0.47622912292284103,-316.0,6243.8478971817385,28,5,Collision tolerance exceeded
149,0.4738479773082268,-792.0,5624.519475898708,28,5,Collision tolerance exceeded
150,0.47147873742168567,-402.0,3724.617425420838,21,5,Collision tolerance exceeded
151,0.46912134373457726,-764.0,29599.70668655418,140,5,Collision tolerance exceeded
152,0.46677573701590436,-1956.0,11790.592952949404,59,5,Collision tolerance exceeded
153,0.46444185833082485,-50.0,4618.252659414569,23,5,Collision tolerance exceeded
154,0.46211964903917074,-370.0,4384.187929910009,20,5,Collision tolerance exceeded
155,0.4598090507939749,70.0,6039.247018900754,33,5,Collision tolerance exceeded
156,0.457510005540005,80.0,3565.511693489947,18,5,Collision tolerance exceeded
157,0.45522245551230495,-608.0,6248.7652981430965,35,5,Collision tolerance exceeded
158,0.4529463432347434,-350.0,6098.056009171243,27,5,Collision tolerance exceeded
159,0.4506816115185697,-240.0,12379.897304653725,64,5,Collision tolerance exceeded
160,0.4484282034609769,-3562.0,18703.163097323177,95,5,Collision tolerance exceeded
161,0.446186062443672,-1410.0,14429.46485053771,67,5,Collision tolerance exceeded
162,0.4439551321314536,-940.0,7228.513914214722,38,5,Collision tolerance exceeded
163,0.4417353564707963,-78.0,4735.558412433103,23,5,Collision tolerance exceeded
164,0.43952667968844233,-1722.0,7204.252337173683,37,5,Collision tolerance exceeded
165,0.43732904629000013,-1076.0,9535.174166910354,48,5,Collision tolerance exceeded
166,0.4351424010585501,-3816.0,13065.218530605642,67,5,Collision tolerance exceeded
167,0.43296668905325736,-1520.0,11098.613307793526,57,5,Collision tolerance exceeded
168,0.43080185560799106,-2208.0,16254.10026057632,78,5,Collision tolerance exceeded
169,0.4286478463299511,-14.0,7728.951842093132,39,5,Collision tolerance exceeded
170,0.42650460709830135,-48.0,4813.0425602487085,22,5,Collision tolerance exceeded
171,0.42437208406280985,-676.0,5863.991021361224,30,5,Collision tolerance exceeded
172,0.4222502236424958,136.0,3035.011811417724,16,5,Collision tolerance exceeded
173,0.42013897252428334,-96.0,3460.784033662202,18,5,Collision tolerance exceeded
174,0.4180382776616619,-8952.0,26394.862506912075,128,5,Collision tolerance exceeded
175,0.4159480862733536,-4.0,9416.495927534732,45,5,Collision tolerance exceeded
176,0.41386834584198684,106.0,9895.639889263079,55,5,Collision tolerance exceeded
177,0.4117990041127769,-204.0,3393.7697494075856,18,5,Collision tolerance exceeded
178,0.40974000909221303,-968.0,3459.5938885032374,18,5,Collision tolerance exceeded
179,0.40769130904675194,258.0,3964.9630280608762,24,5,Collision tolerance exceeded
180,0.40565285250151817,72.0,6595.719089063698,36,5,Collision tolerance exceeded
181,0.4036245882390106,-94.0,2313.3311968647467,15,5,Collision tolerance exceeded
182,0.4016064652978155,-4320.0,10453.660827925576,60,5,Collision tolerance exceeded
183,0.3995984329713264,-3816.0,8777.563117029615,52,5,Collision tolerance exceeded
184,0.3976004408064698,-1456.0,6072.374974878725,32,5,Collision tolerance exceeded
185,0.39561243860243744,-270.0,6849.933378474952,35,5,Collision tolerance exceeded
186,0.3936343764094253,-330.0,13690.937823546754,71,5,Collision tolerance exceeded
187,0.39166620452737816,-5362.0,12499.267531087975,69,5,Collision tolerance exceeded
188,0.3897078735047413,-586.0,9112.899723038205,48,5,Collision tolerance exceeded
189,0.3877593341372176,-176.0,6905.157534129265,34,5,Collision tolerance exceeded
190,0.3858205374665315,-4018.0,19851.050683806967,99,5,Collision tolerance exceeded
191,0.38389143477919885,-344.0,7089.9888784450195,40,5,Collision tolerance exceeded
192,0.3819719776053028,-1374.0,10466.204752295649,55,5,Collision tolerance exceeded
193,0.3800621177172763,-1296.0,12894.33636176118,71,5,Collision tolerance exceeded
194,0.37816180712868996,52.0,8518.338611643656,48,5,Collision tolerance exceeded
195,0.37627099809304654,-298.0,5432.764371963691,33,5,Collision tolerance exceeded
196,0.3743896431025813,144.0,4866.300566068705,26,5,Collision tolerance exceeded
197,0.37251769488706843,-170.0,6336.41704521688,35,5,Collision tolerance exceeded
198,0.3706551064126331,-886.0,5906.37208411774,31,5,Collision tolerance exceeded
199,0.36880183088056995,-54.0,3413.4918716790053,21,5,Collision tolerance exceeded
200,0.3669578217261671,-1190.0,11059.640976304425,61,5,Goal reached
201,0.36512303261753626,-628.0,7149.45243456935,44,5,Collision tolerance exceeded
202,0.3632974174544486,-1832.0,7384.315226332463,42,5,Collision tolerance exceeded
203,0.3614809303671764,-76.0,4501.992051867881,30,5,Collision tolerance exceeded
204,0.3596735257153405,-164.0,4398.960133491022,28,5,Collision tolerance exceeded
205,0.3578751580867638,-376.0,11431.51242862473,66,5,Collision tolerance exceeded
206,0.35608578229633,-64.0,6981.380933413878,42,5,Collision tolerance exceeded
207,0.3543053533848483,-14.0,5971.693750802765,37,5,Collision tolerance exceeded
208,0.35253382661792404,-148.0,5581.060886238225,32,5,Collision tolerance exceeded
209,0.3507711574848344,-252.0,9930.498425981506,54,5,Collision tolerance exceeded
210,0.34901730169741024,-96.0,3758.221655490828,20,5,Collision tolerance exceeded
211,0.3472722151889232,-232.0,4733.452663656718,28,5,Collision tolerance exceeded
212,0.3455358541129786,-344.0,3565.5430171677617,22,5,Collision tolerance exceeded
213,0.3438081748424137,-814.0,11834.446212678324,69,5,Collision tolerance exceeded
214,0.3420891339682016,-44.0,6625.020774252142,38,5,Collision tolerance exceeded
215,0.3403786882983606,74.0,6748.679423030904,39,5,Collision tolerance exceeded
216,0.3386767948568688,66.0,9712.606293975721,57,5,Collision tolerance exceeded
217,0.33698341088258443,-1112.0,17720.23590586948,102,5,Collision tolerance exceeded
218,0.3352984938281715,-576.0,6391.007908773356,42,5,Collision tolerance exceeded
219,0.33362200135903064,-270.0,5418.454832451128,33,5,Collision tolerance exceeded
220,0.33195389135223546,-2310.0,6385.924468081242,39,5,Collision tolerance exceeded
221,0.3302941218954743,-2216.0,7466.349406737377,48,5,Collision tolerance exceeded
222,0.32864265128599696,-1962.0,11513.575342813458,67,5,Collision tolerance exceeded
223,0.326999438029567,-122.0,6527.2557179653395,41,5,Collision tolerance exceeded
224,0.3253644408394192,-642.0,7207.317824800638,41,5,Collision tolerance exceeded
225,0.3237376186352221,-1020.0,8595.800545483182,52,5,Collision tolerance exceeded
226,0.322118930542046,-164.0,4122.154370058308,26,5,Collision tolerance exceeded
227,0.32050833588933575,-2268.0,7793.641695760567,48,5,Collision tolerance exceeded
228,0.31890579420988907,-14.0,14914.404173552528,91,5,Collision tolerance exceeded
229,0.3173112652388396,-1178.0,11186.672332892269,65,5,Collision tolerance exceeded
230,0.3157247089126454,224.0,12378.755031089822,72,5,Collision tolerance exceeded
